K_new_from_k1k2,H_mean
-2.954530009075495914e-02,2.780223563475606730e-01
4.752623771256439533e-02,5.290746612930561366e-01
-1.163046938796501673e+00,2.303816249850907827e+00
-4.424799971518157959e-01,1.202655439075657640e+00
1.343650560664906013e-01,2.658241947067419009e+00
-3.596125146173055342e-01,1.457026873430474767e+00
-6.250022702734330249e-01,9.462898414138841696e-01
4.037873475857232997e+00,3.022083710176609817e+00
-2.228692592515557180e+00,8.752604110314929908e-01
-1.831616168213892282e+00,1.508001811419501514e+00
2.518176905714501063e-02,2.758071128036938546e-01
-1.323896846872982147e+00,9.495502915244807829e-01
-8.358784342570456383e-02,1.584868722207580793e+00
-5.516877761968601579e-01,1.872363614143937482e+00
4.473181946959777777e-01,1.297341750250854187e+00
-4.046848963784723252e-01,1.027312651299205459e+00
2.134396046424898163e-01,1.692069363878138555e+00
-1.081992437299932330e+00,5.447450188271422133e-01
8.649204640532741351e-02,1.376696269642450732e+00
-7.273996142457263003e-01,1.220707996300190556e+00
-6.560968118960541773e-02,7.681199415803674491e-01
-4.718905668645940188e-01,7.858256583625299330e-01
-4.636004861571526026e-01,1.019291995755243097e+00
-3.176923105596561880e-01,8.511269348081222930e-01
-6.893902682292289696e-02,1.688464102669975930e-01
-8.818554247492347287e-01,1.280946104316244671e+00
-3.804556631971467429e+00,1.687890350389573912e+00
-2.743248875035792178e+00,9.463513251525184078e-01
2.336310194842455168e+00,3.147009547027273868e+00
1.345575465698265194e-01,2.492604651371150393e+00
-4.423639010466327015e-01,1.030172716981484271e+00
2.654135229720941958e+00,3.007676823156209878e+00
-1.837802682898709294e-01,1.852725850997451795e+00
2.701824753475282392e+00,2.681645243431264980e+00
5.391753916681606834e-02,2.322015055222856894e-01
-1.748357387147888020e-01,8.431929745427041434e-01
-4.312381106315034685e-01,1.172121127325417067e+00
-4.901445777076548355e-02,2.403495401059870251e-01
2.586827485731414168e-03,1.804476843089497240e-01
-1.318344346729242262e-03,5.015474053649599667e-02
2.569971248439878366e-03,1.272785584625355793e-01
-1.559252052933588449e-02,1.020275362975309463e-01
-7.325161228836889876e-05,3.065163479198132652e-03
-7.777578519675167890e-01,2.912303347797858599e+00
-2.358420219579201726e-01,7.538089100026583722e-01
-2.015085965741054419e-01,5.392340185662568564e-01
2.497850322242005927e-01,1.458937184082551353e+00
-3.767537082015241096e-02,2.981367406192164116e-01
1.633266934184723473e-03,6.876250333281055949e-02
-2.231735369800995697e-03,1.053947819810398256e-01
1.373596613288705429e-02,2.377165360609939104e-01
-4.049658102710830543e-02,1.081826200055888698e-01
-8.716325153114906632e-01,2.093988136888710105e+00
-7.439326067970557510e-01,1.244477576362797100e+00
-2.738886123015213392e-01,8.920696928750879162e-02
2.429282447726334171e-01,9.334834718538144172e-01
-1.412935030133305979e-02,9.623291457595264595e-03
-4.026120036088160603e+00,9.844178119937061489e-01
-3.501573867879784197e-01,3.258112141479404533e-01
-1.896137796245006557e-02,1.519936123125117389e-01
-1.345379343855074517e+00,9.855045016247030443e-01
-2.019462596190738351e-03,2.938743877850491515e-02
-3.571890060849367554e-01,1.440340161288219401e+00
-7.842819463976536953e-01,2.554823268804469194e-01
-2.234576896353314801e+00,7.388101553982860947e-01
-1.026652794347939990e+00,6.691270691902073686e-01
7.414019173710910231e-03,2.234582437568867874e+00
-2.766720342870885728e-04,8.087638142971453545e-03
5.406293745336167023e-01,7.352750332587233428e-01
-5.052415346726012446e-01,1.678854857984119819e+00
-8.761736272903334344e-01,1.255691611081460435e+00
-1.992689712198634000e+00,1.140897725695700915e+00
-2.025576445143848631e-02,1.001684271871774654e-02
1.486578943920921603e+00,1.219253437116714300e+00
6.182532434837974961e-02,2.486469874106254918e-01
3.822194460122440018e-01,1.616031027855877822e+00
-5.053069127575830766e-02,1.037443836328901581e+00
-2.206223829580452322e-01,4.885198657877498629e-01
-1.909928324967325175e-01,3.096304201509135212e-01
-9.579328226799910251e-02,2.292793295904086981e-01
-2.874920292896970559e-03,1.084770266245759673e+00
-1.030611033568286372e-01,4.323990274907331122e-01
-4.979634675037837403e-03,4.101172646340549566e-01
2.145915863653794498e-01,2.282389078583285436e+00
-3.188816579552838371e-01,8.923479770086563123e-01
-1.307969938019150624e-01,1.249099891650857774e+00
2.772345684634957008e-01,1.417181173025423124e+00
1.727239822615198594e-01,4.156007486296431908e-01
-4.433296345074131395e-01,1.124011085086215722e+00
8.841512276070921661e-02,2.973468055330495963e-01
-1.386812777068668678e+00,2.268283982690032730e+00
-2.045985737113746428e+00,1.942887578352420430e+00
-1.142653004930860305e+00,8.312184201623452617e-01
2.002108807255196035e-02,3.310156603354704186e-01
4.290155445022145186e-01,1.041954884827371419e+00
-5.686795398786363975e-01,8.442950664183734855e-01
-1.222492851617950071e+00,9.192222604442915612e-01
-3.538310482743072249e+00,1.246259399083030406e+00
-1.412058984877471612e+00,7.348223151128006059e-01
2.546492253023893149e-01,6.661821126035070151e-01
1.444257523879184379e-01,3.800338832103243303e-01
-2.516606515943292099e-01,1.536356743534263769e+00
5.203473409897158009e-01,8.941338064795867346e-01
-6.914951474329738002e-01,6.779630905876110614e-01
