X,Y,Z
3.005184932670208298e+01,-3.088473187070904302e+01,1.855720960457180624e+01
3.141235366975418231e+01,-3.088473187070904302e+01,2.137289711254011948e+01
3.277285801280629585e+01,-3.088473187070904302e+01,2.380789365418727144e+01
3.413336235585839518e+01,-3.088473187070904302e+01,2.505967380568254299e+01
3.549386669891049451e+01,-3.088473187070904302e+01,1.525840299650590381e+01
3.685437104196259384e+01,-3.088473187070904302e+01,1.469986994061692087e+01
3.821487538501470738e+01,-3.088473187070904302e+01,1.657052686021583199e+01
3.957537972806680671e+01,-3.088473187070904302e+01,1.567617695700827163e+01
4.093588407111890604e+01,-3.088473187070904302e+01,2.239467122048633740e+01
4.229638841417100537e+01,-3.088473187070904302e+01,9.400188065251988689e+00
4.365689275722311891e+01,-3.088473187070904302e+01,1.558567833463067842e+01
4.501739710027521824e+01,-3.088473187070904302e+01,1.551933732664729071e+01
4.637790144332731757e+01,-3.088473187070904302e+01,2.307461866110778459e+01
4.773840578637941690e+01,-3.088473187070904302e+01,1.186494192718702223e+01
4.909891012943153044e+01,-3.088473187070904302e+01,1.086688118435267292e+01
5.045941447248362977e+01,-3.088473187070904302e+01,1.226060444745446709e+01
5.181991881553574331e+01,-3.088473187070904302e+01,1.852332789653760869e+01
5.318042315858784264e+01,-3.088473187070904302e+01,1.463164338720859448e+01
-1.239750563496286873e+00,-3.021669665249911318e+01,3.505666413961800743e+01
1.207537795558124571e-01,-3.021669665249911318e+01,1.767658147844716865e+01
1.481258122607911787e+00,-3.021669665249911318e+01,1.711605622962190409e+01
2.841762465660025327e+00,-3.021669665249911318e+01,1.826198031424194923e+01
4.202266808712124657e+00,-3.021669665249911318e+01,1.933043964793164804e+01
5.562771151764223987e+00,-3.021669665249911318e+01,1.917373401913344111e+01
6.923275494816323317e+00,-3.021669665249911318e+01,1.953165452975464689e+01
8.283779837868436857e+00,-3.021669665249911318e+01,1.972562907212349970e+01
9.644284180920536187e+00,-3.021669665249911318e+01,1.994583621551078778e+01
1.100478852397263552e+01,-3.021669665249911318e+01,1.930017013484564714e+01
1.236529286702474906e+01,-3.021669665249911318e+01,1.969958112209275569e+01
1.372579721007684839e+01,-3.021669665249911318e+01,1.924868708345880464e+01
1.508630155312894772e+01,-3.021669665249911318e+01,1.935122896686976190e+01
1.644680589618104705e+01,-3.021669665249911318e+01,1.950054791464665271e+01
1.780731023923316059e+01,-3.021669665249911318e+01,1.847128890235563858e+01
1.916781458228525992e+01,-3.021669665249911318e+01,1.878254804316405924e+01
2.052831892533735925e+01,-3.021669665249911318e+01,1.992330249547624277e+01
2.188882326838945858e+01,-3.021669665249911318e+01,2.160335900352515637e+01
2.324932761144157212e+01,-3.021669665249911318e+01,2.832469573796503681e+01
2.460983195449367145e+01,-3.021669665249911318e+01,1.996232190705332599e+01
2.597033629754577078e+01,-3.021669665249911318e+01,2.673109935729338460e+01
